model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
gnn_joint,none,6,DDoS,0.002750060475656129,0.0,0.005922159993823077,,,,6.085911247324356e-05,0.015187112277312648,,0.0,0.0,4.162523029252953e-06,1.050335046865981e-06,5.925294021232085,0.0
ffnn_joint,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,3.58829876764394,0.0
ffnn_joint,none,1,DoS,2.8516138472084754e-05,0.00021933924881972812,0.00021129148643685107,,,,2.8327033657300003e-06,3.9335770104282355e-05,0.0,0.0,0.0,0.0,0.0,11.90085713846942,0.0
ffnn_joint,none,2,WebAttack,4.1771170088132466e-05,0.024056261216234456,0.00024023194166737668,,,,1.311234658554495e-05,0.012458436354426861,0.0,0.0,0.0,2.2026001523544155e-05,5.558026878715017e-06,12.256087159271452,0.0
ffnn_joint,none,3,Infiltration,0.0004704601794310778,0.0001858981661983254,0.00026870003748023053,,,,0.000617853082796756,0.07723628515769776,0.0,0.0,0.0,0.0006952908815104968,0.000175584160128358,13.941049989045409,0.0
ffnn_joint,none,4,Botnet,0.00012816756214251927,0.0,0.0005624487679625137,,,,5.326535071711632e-05,0.011164717421413882,0.0,0.00045105489780436947,0.00045105489780436947,2.5994947985356087e-05,0.0001145604494005865,19.90026445245552,0.0
ffnn_joint,none,5,PortScan,0.0006863576187632288,0.011787722836153605,9.83623805139569e-05,,,,4.18889882417511e-05,0.020686326466838146,0.0,0.00045105489780436947,0.00045105489780436947,2.9137661204111366e-05,0.00010712632032030627,18.437733867750566,0.0
ffnn_joint,none,6,DDoS,0.0005710385318906303,0.0,6.805829679254074e-05,,,,6.844017868354649e-05,0.01182153962632039,,0.0,0.0,2.2026001523429077e-05,0.00022629186544222485,10.274722646186502,0.0
gnn_ewc,none,0,BruteForce,8.325046058281559e-06,0.0,0.0,0.0,0.0,0.0,8.402588656687077e-06,0.00022710052391382415,0.0,0.0,0.0,8.325046058281559e-06,0.00022710052391382415,1.3141047367592704,0.0
gnn_ewc,none,1,DoS,0.0019390069057181871,0.00030539793128877326,0.00029419259527868586,0.0,0.0,0.02605387986829062,2.469493541650939e-05,0.14248159565387192,0.0,0.3667151216799629,0.3667151216799629,0.0033842003413818576,0.21043807098748285,0.8276669055117106,0.0
gnn_ewc,none,2,WebAttack,0.012733703445187719,0.0,0.008270248975760952,0.0,0.0,0.0390730959314252,0.0002428833873465906,0.109718787678132,0.0,0.2805561464343338,0.2805561464343338,0.0025890893241334173,0.18880750128072937,0.4689484973534349,0.0
gnn_ewc,none,3,Infiltration,0.019032756959085694,0.0018268354629342011,0.10554320771704208,0.0,0.0,0.02972494784525718,0.0007945852418083536,0.03321699233825292,0.0,0.05096920345189665,0.05096920345189665,0.0004870151944110176,0.046842990676041765,0.7823990238089341,0.0
gnn_ewc,none,4,Botnet,0.033270964578300886,0.055362354579827106,0.2433586913504765,0.0,0.0,0.01401868565847007,0.002041929826278117,0.12143282715433942,0.0,0.0,0.0,0.0001666569426789828,0.00116172737717977,1.0930258701598266,0.0
gnn_ewc,none,5,PortScan,0.008514616435946589,0.0,0.02150244081947498,0.0,0.0,0.004318018232267592,0.00631789168310561,0.07137128419904051,0.0,0.17126014549478763,0.17126014549478763,0.0017007918324693438,0.13159702710915963,0.38856761268020684,0.0
gnn_ewc,none,6,DDoS,0.0005007537297717586,0.0,0.007956950169858168,0.0,0.0,0.018898572270478833,0.0005937756234263292,0.0009539583123982441,,0.0,0.0,7.209701374161215e-06,0.0003799528148046835,0.18237279634863995,0.0
