stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
14,198,2018-02-15T13:27:52.163823,ADWIN,0.017699115044247787,0.19642857142857142,False,refractory period,3,ffnn_ewc_replay,adwin
15,199,2018-02-15T13:30:38.405035,ADWIN,0.02071563088512241,0.140625,False,refractory period,1,ffnn_ewc_replay,adwin
16,201,2018-02-15T13:37:20.802767,ADWIN,0.003125697700379549,0.0875,False,refractory period,3,ffnn_ewc_replay,adwin
17,202,2018-02-15T13:40:23.217663,ADWIN,0.0118137595552467,0.015151515151515152,False,refractory period,1,ffnn_ewc_replay,adwin
19,205,2018-02-15T13:49:01.619726,ADWIN,0.0008789920890711983,0.002197265625,True,error increased,4,ffnn_ewc_replay,adwin
34,227,2018-02-15T14:58:49.520953,ADWIN,0.00031291239813340953,0.06770833333333333,True,error increased,2,ffnn_ewc_replay,adwin
35,228,2018-02-15T15:01:35.503923,ADWIN,0.008502125531382845,0.125,False,refractory period,1,ffnn_ewc_replay,adwin
36,229,2018-02-15T15:04:53.594861,ADWIN,0.005649717514124294,0.006996268656716418,False,refractory period,3,ffnn_ewc_replay,adwin
38,232,2018-02-15T15:13:41.096189,ADWIN,0.006687018461985754,0.008191747572815534,False,refractory period,2,ffnn_ewc_replay,adwin
39,234,2018-02-15T15:19:35.615625,ADWIN,0.014555256064690027,0.2875,True,error increased,2,ffnn_ewc_replay,adwin
44,241,2018-02-15T15:40:14.154779,ADWIN,0.0007602736985314713,0.0008812364425162689,True,error increased,1,ffnn_ewc_replay,adwin
113,339,2018-02-15T21:28:41.499548,ADWIN,9.802593074179681e-05,0.0023634453781512603,True,error increased,1,ffnn_ewc_replay,adwin
114,341,2018-02-16T12:38:36.697545,ADWIN,0.04769001490312966,0.027573529411764705,False,error decreased,1,ffnn_ewc_replay,adwin
181,437,2018-02-16T17:43:24.921728,ADWIN,3.2499859659696925e-05,0.006859756097560976,True,error increased,1,ffnn_ewc_replay,adwin
182,438,2018-02-16T17:45:30.415800,ADWIN,0.009253547193090685,0.046875,False,refractory period,2,ffnn_ewc_replay,adwin
184,441,2018-02-16T17:46:08.490404,ADWIN,0.01743364221768494,0.020934466019417477,False,refractory period,1,ffnn_ewc_replay,adwin
185,442,2018-02-16T17:46:21.160402,ADWIN,0.015710269555151316,0.02240566037735849,False,refractory period,1,ffnn_ewc_replay,adwin
188,447,2018-02-16T17:47:25.577219,ADWIN,0.014066417956088312,0.014360313315926894,True,error increased,1,ffnn_ewc_replay,adwin
189,448,2018-02-16T17:47:38.591471,ADWIN,0.0076175466246388235,0.006371359223300971,False,error decreased,1,ffnn_ewc_replay,adwin
294,598,2018-02-20T14:14:31.781558,ADWIN,4.971252774819457e-05,0.028645833333333332,True,error increased,3,ffnn_ewc_replay,adwin
295,599,2018-02-20T14:16:42.779716,ADWIN,0.26149319602795146,0.245018115942029,False,error decreased,1,ffnn_ewc_replay,adwin
315,628,2018-02-20T15:16:42.101279,ADWIN,9.993703966501104e-05,0.0015368852459016393,True,error increased,2,ffnn_ewc_replay,adwin
340,663,2018-02-20T17:14:44.633613,ADWIN,9.697518243456195e-05,0.00030471289274106175,True,error increased,1,ffnn_ewc_replay,adwin
342,666,2018-02-20T17:24:26.084946,ADWIN,0.001788074321697893,0.0,False,error decreased,1,ffnn_ewc_replay,adwin
475,856,2018-02-21T18:10:39.677287,ADWIN,5.279233756928994e-05,0.00012248040313549832,True,error increased,1,ffnn_ewc_replay,adwin
476,858,2018-02-21T18:12:57.221842,ADWIN,0.6304400096176965,0.203125,False,error decreased,1,ffnn_ewc_replay,adwin
486,872,2018-02-21T18:26:24.070476,ADWIN,0.0004804937997819297,0.0005226480836236934,True,error increased,1,ffnn_ewc_replay,adwin
496,886,2018-02-21T18:40:55.193704,ADWIN,0.00036432084522436094,0.040625,True,error increased,2,ffnn_ewc_replay,adwin
500,892,2018-02-21T18:47:29.433508,ADWIN,0.0008495661144486922,0.03977272727272727,False,refractory period,4,ffnn_ewc_replay,adwin
501,893,2018-02-21T18:48:37.547513,ADWIN,0.006535947712418301,0.19642857142857142,True,error increased,2,ffnn_ewc_replay,adwin
502,895,2018-02-21T18:50:48.669328,ADWIN,0.0014567606939478214,0.002232142857142857,False,refractory period,1,ffnn_ewc_replay,adwin
503,896,2018-02-21T18:52:01.751987,ADWIN,0.004718372161604247,0.015625,False,refractory period,4,ffnn_ewc_replay,adwin
504,898,2018-02-21T18:54:34.081396,ADWIN,0.007503126302626094,0.0625,False,refractory period,2,ffnn_ewc_replay,adwin
505,899,2018-02-21T18:55:51.862246,ADWIN,0.004113533525298231,0.012276785714285714,False,refractory period,3,ffnn_ewc_replay,adwin
506,901,2018-02-21T18:58:27.021799,ADWIN,0.003271537622682661,0.006114130434782609,True,error increased,2,ffnn_ewc_replay,adwin
508,903,2018-02-21T19:01:06.866127,ADWIN,0.0012062726176115801,0.0030241935483870967,False,refractory period,1,ffnn_ewc_replay,adwin
544,955,2018-02-22T12:27:12.388977,ADWIN,0.00019975252881152794,0.00025634765625,True,error increased,1,ffnn_ewc_replay,adwin
545,956,2018-02-22T12:29:27.352468,ADWIN,0.005600722673893405,0.0026595744680851063,False,error decreased,1,ffnn_ewc_replay,adwin
670,1134,2018-02-22T21:27:58.541642,ADWIN,8.324808409337233e-05,0.0002811316287878788,True,error increased,1,ffnn_ewc_replay,adwin
835,1370,2018-02-28T14:47:36.782158,ADWIN,0.0001251654188606058,0.0007203014184397163,True,error increased,3,ffnn_ewc_replay,adwin
837,1373,2018-02-28T14:54:44.186051,ADWIN,0.00970326074692542,0.012995049504950494,False,refractory period,1,ffnn_ewc_replay,adwin
839,1375,2018-02-28T14:59:33.053335,ADWIN,0.00660916321272544,0.008101851851851851,False,refractory period,1,ffnn_ewc_replay,adwin
840,1377,2018-02-28T15:03:57.570596,ADWIN,0.009852216748768473,0.01611328125,True,error increased,1,ffnn_ewc_replay,adwin
897,1458,2018-02-28T18:57:33.052350,ADWIN,0.005924441397254013,0.0060178817056396145,True,error increased,1,ffnn_ewc_replay,adwin
927,1501,2018-02-28T20:56:48.491000,ADWIN,0.0040273621772968235,0.012152777777777778,True,error increased,1,ffnn_ewc_replay,adwin
940,1520,2018-03-01T12:38:13.817216,ADWIN,0.003374990050147258,0.0028741944932630346,False,error decreased,1,ffnn_ewc_replay,adwin
944,1525,2018-03-01T12:52:44.849046,ADWIN,0.0032534481968565275,0.004866803278688525,True,error increased,1,ffnn_ewc_replay,adwin
1001,1607,2018-03-01T16:41:01.523699,ADWIN,0.0024024977509657618,0.0025011169262190453,True,error increased,1,ffnn_ewc_replay,adwin
1032,1651,2018-03-01T18:45:30.722511,ADWIN,0.0044507088753865005,0.004570578231292517,True,error increased,1,ffnn_ewc_replay,adwin
