model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
gnn_joint,none,3,Infiltration,0.9958568457606365,0.9334915419252768,0.9786667705411861,,,,0.0007136621619171,0.9924763440733478,0.0,1.0,1.0,0.9999855805972516,0.9996060414834552,49.09710804621378,2190.0,3
gnn_joint,none,4,Botnet,0.996212211307471,0.6666666666666666,0.9768234889887263,,,,0.0002889629039484667,0.9926221643021987,0.9999658434948936,1.0,1.0,0.999992790298626,0.999802944543727,52.98110063870748,2390.0,3
gnn_joint,none,5,PortScan,0.9986184362947518,0.9999658434948936,0.995476739286688,,,,0.0005654809807392666,0.9978835533163745,0.9988717902432419,1.0,1.0,0.9999903870648345,0.999737310190303,64.36880230903625,2770.0,3
gnn_joint,none,6,DDoS,0.9979271948196683,1.0,0.9928149883814764,,,,0.00039554564564847535,0.997205688870992,,1.0,1.0,0.999992790298626,0.999802944543727,73.6259560585022,2970.0,3
ffnn_joint,none,0,BruteForce,0.999980774129669,1.0,1.0,,,,1.9404947291311923e-05,0.9994750769744213,0.0,1.0,1.0,0.999980774129669,0.9994750769744213,35.874469677607216,4740.0,3
ffnn_joint,none,1,DoS,0.9999441423476411,0.9997619472713205,0.9997706816487989,,,,2.6167392811817194e-05,0.999888090282619,0.0,1.0,1.0,0.9999759676620862,0.9993437577063963,66.77117800712585,8130.0,3
ffnn_joint,none,2,WebAttack,0.9999178365478204,0.9166666666666666,0.9995130335147522,,,,2.0396983577514366e-05,0.9998211373538516,0.00020283152813270665,1.0,1.0,0.9999831773634602,0.9995404578692332,70.49932106335957,8970.0,3
ffnn_joint,none,3,Infiltration,0.9995410892489628,0.9984787635390046,0.9990196842214605,,,,0.0003548882620059333,0.9991728545613684,0.0,1.0,1.0,0.999858209206308,0.996157842706508,71.38533775011699,10640.0,3
ffnn_joint,none,4,Botnet,0.9996164640962824,1.0,0.9989173489961166,,,,0.000257375865865,0.9992596888138063,0.9733123840102014,1.0,1.0,0.999889451245596,0.9969976554635744,76.87839810053508,11610.0,3
ffnn_joint,none,5,PortScan,0.9997163620753097,0.999237171385957,0.9991862261547739,,,,0.00014593057567459998,0.9995667407064328,0.9950810054605351,1.0,1.0,0.9999254997524668,0.997974113186276,89.41499463717143,13430.0,3
