model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
ffnn_ewc_replay,none,2,WebAttack,0.000859083824342769,0.04166666666666667,0.0004767492688940935,,,0.001091893909786261,0.0010616263164737961,0.0018578980984719422,0.0001405258048411036,0.0,0.0,0.0010973045487038802,0.02680616155268512,5.29332869279338,0.0
ffnn_ewc_replay,none,3,Infiltration,0.00035534771768900414,0.000399016582956154,0.00022824342774546927,,,0.0024326060972233786,0.0004711726510533821,0.0006383505743936661,0.0,0.0,0.0,0.00041965169098810175,0.010696927131996145,10.215756039314202,0.0
ffnn_ewc_replay,none,4,Botnet,0.0007220666551188536,0.0,0.00045320342290411933,,,0.004381975884788389,0.0009321221637785894,0.001383454469105342,0.0015526501803771455,0.0,0.0,0.0013668485940733703,0.03093288752019188,28.266390462734428,0.0
ffnn_ewc_replay,none,5,PortScan,4.433273941314125e-05,9.03696181666858e-05,0.00022727083721183795,,,0.0044699754854786505,6.701001124937428e-06,6.780362640087337e-05,0.004292261132165688,0.0,0.0,4.727717353982406e-05,0.0012224146566122264,28.010864289327905,0.0
ffnn_ewc_replay,none,6,DDoS,6.176719738794164e-05,0.0,3.5055382686609475e-05,,,0.0058438615914742755,7.177830232971102e-05,8.29467259159483e-05,,0.0,0.0,4.800455738547966e-05,0.0012601613005804506,15.560895193109427,0.0
ffnn_naive,none,0,BruteForce,1.5008190216931212e-05,0.0,0.0,,,,1.5147982124158671e-05,0.00040937496365947443,0.0,0.0,0.0,1.5008190216931212e-05,0.00040937496365947443,29.961351231370397,0.0
ffnn_naive,none,1,DoS,4.2516994265310794e-05,0.00020615971047660634,0.0001985955176940841,,,,2.138644141547298e-05,8.68774217047213e-05,0.0,0.0,0.0,2.2026001523356398e-05,5.5580386223237645e-06,30.2910031158033,0.0
ffnn_naive,none,2,WebAttack,0.003459686114713397,0.024056261216234456,0.025946335796721894,,,,5.534406772150956e-05,0.024748346788126405,0.0,0.25492264515538987,0.25492264515538987,0.0023580720514350707,0.17448122334393978,4.076296285773596,0.0
ffnn_naive,none,3,Infiltration,0.0013774764718917614,0.00010539435363090758,0.007808972544955627,,,,0.00011697856878935001,0.004806168662247774,0.0,0.1012987360201046,0.1012987360201046,0.000984011992232087,0.04986916512979534,6.652791961196563,0.0
ffnn_naive,none,4,Botnet,4.5415563579357315e-06,0.0,8.983025368106168e-05,,,,2.0564794761754118e-05,8.776578023773253e-05,0.0,0.0,0.0,8.325046058393733e-06,2.100617238875095e-06,3.7304017233050675,0.0
ffnn_naive,none,5,PortScan,0.001013123819538272,9.8601337088793e-05,0.004975690954588856,,,,1.6202230667448174e-05,0.0022727779812636763,0.29279800875080203,0.004510548978043952,0.004510548978043952,3.407171941475714e-05,0.0044666094074588296,7.385221379847255,0.0
ffnn_naive,none,6,DDoS,0.016137129992089275,0.0,0.0654689129975632,,,,0.00017439654641233124,0.030918224800003016,,0.002255274489021976,0.002255274489021976,2.4975138174932813e-05,0.0022118446875000466,2.6865536337781335,0.0
